card,effect
Air Eater,"A monster that feeds on oxygen, suffocating any who stand near."
Airknight Parshath,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card."
Airorca,"Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand, then target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase."
Aitsu,"He seems to be very unreliable, but he might have incredible potential."
Akakieisu,A sorcerer who utters spells that render monsters unconscious.
Akashic Magician,"2 monsters with the same Type, except Tokens
You can only Link Summon ""Akashic Magician(s)"" once per turn. If this card is Link Summoned: Return all monsters this card points to to the hand. Once per turn: You can declare 1 card name; excavate cards from the top of your Deck, equal to the total Link Rating of the Link Monsters co-linked to this card, then if you excavated any copies of the declared card, add them to your hand, also send the remaining cards to the GY."
Akihiron,"This strange creature hides in the deep, dark corners of the seven seas."
"Akz, the Pumer","This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster from your hand to activate 1 of the following effects: ● Double this card's ATK until the End Phase. ● This card can attack your opponent directly this turn."
Al-Lumi'raj,All monsters on the field lose ATK and DEF equal to their own Level/Rank x 300.
Alchemic Magician,"3 Level 4 Spellcaster-Type monsters
This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone."
Alchemist of Black Spells,"Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on."
Alchemy Cycle,"The original ATK of all face-up monsters you control becomes 0, until the End Phase. Each time a monster that had its original ATK reduced to 0 by this effect is destroyed by battle and sent to the Graveyard, draw 1 card."
"Alector, Sovereign of Birds","If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up ""Alector, Sovereign of Birds"" on the field."
Aleister the Invoker,"During either player's turn: You can send this card from your hand to the Graveyard, then target 1 Fusion Monster you control; it gains 1000 ATK and DEF until the end of this turn. If this card is Normal Summoned or flipped face-up: You can add 1 ""Invocation"" from your Deck to your hand."
Aleister the Invoker of Madness,"2 monsters with different Types and Attributes
This card's name becomes ""Aleister the Invoker"" while on the field or in the GY. If a Fusion Monster is Fusion Summoned: You can discard 1 card, and if you do, add 1 ""Invocation"" or ""The Book of the Law"" from your Deck to your hand. If this face-up card in its owner's control leaves the field because of an opponent's card effect: You can add 1 ""Omega Summon"" from your Deck to your hand."
Alexandrite Dragon,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not."
"Alich, Malebranche of the Burning Abyss","If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Alich, Malebranche of the Burning Abyss"" per turn, and only once that turn.
● If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
● If this card is sent to the Graveyard: You can target 1 face-up monster on the field; negate its effects until the end of this turn."
Alien Ammonite,"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""Alien"" monster from your Graveyard. Destroy it during the End Phase."
Alien Brain,"When a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard: Take control of the opponent's monster, and if you do, it becomes Reptile-Type."
Alien Dog,"When you Normal Summon an ""Alien"" monster, you can Special Summon this card from your hand. When you do, place 2 A-Counters on face-up monster(s) your opponent controls."
Alien Grey,"FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card."
Alien Hunter,"If this card destroys a monster with an A-Counter by battle, it can attack once again in a row."
Alien Hypno,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
● During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it."
Alien Infiltrator,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly."
Alien Kid,"Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Alien Mars,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars""."
Alien Mother,"If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed."
Alien Overlord,"You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 face-up ""Alien Overlord""."
Alien Psychic,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.
Alien Shocktrooper,"The Aliens have used a mysterious biological substance to create a supreme race of soldiers. They do not have the natural powers of the other Aliens, but can make stunning physical attacks."
Alien Shocktrooper Mighty/Frame,"2 Reptile monsters
(Quick Effect): You can discard 1 monster; place A-Counters on face-up monsters on the field equal to the original Level of the discarded monster. If this card is destroyed by battle or card effect and sent to the GY: You can Special Summon Reptile monsters with different names from your GY, except Link Monsters, up to the number of monsters your opponent controls with A-Counters. You can only use each effect of ""Alien Shocktrooper Mighty/Frame"" once per turn."
Alien Skull,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon the monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Alien Telepath,"Once per turn, you can remove 1 A-Counter from a monster your opponent controls, and destroy 1 Spell or Trap Card. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Alien Warrior,"When this card is destroyed by battle and sent to the Graveyard, place 2 A-Counters on the monster that destroyed it. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
